Immediately Invoked Function Expression）；IIFE;
correctly	adv.正确地，得体地.实事求是.;
interaction	n.一起活动.合作.互相影响.互动.;
level	n.水平，水准.水平线，水平面.水平仪.[物]电平.;adj.水平的.同高度的.平均的.平稳的.;vt.使同等.对准.弄平.;vi.拉平.（用枪等）瞄准（与 at 连用）.变得平坦.将（话、批评等）对准目标.;vi.瞄准.拉平.变得平坦.;
depend	vi.依靠.依赖.信赖.决定于.;
surprising	adj.使人惊讶的，出人意料的，惊人的.惊人的，意外的.奇怪的，不可思议的.;v.使惊奇，使诧异( surprise的现在分词).意外发现[撞见]，出其不意获得.;
evident	adj.明显的，明白的.昭著.彰.;
self	n.自己.本人.本性.私利.;adj.同一的.纯净的.单一的.;vt.使自花授精.使近亲繁殖.;vi.自花授精.;
call	v.呼唤，喊叫.召唤，叫来，召集.下令，命令.打电话给.;n.喊叫，大声喊.电话联络.必要，理由.要求.;
finding	n.发现物.研究结果.调查（或研究）的结果.<律>（陪审团的）裁决.;v.发现( find的现在分词).;
location	n.位置,场所,特定区域,<美>[电影]外景拍摄场地
story	n.故事,小说,传说,事迹,经历,假话,谎话
rule	n.规则，规定.统治，支配.章程.;vt.& vi.控制，支配.判定.裁定，裁决.价格稳定.;vt.统治.规定.管理.裁决.;vi.统治.管辖.裁定.;
set	v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议
define	vt.定义,详细说明
speak	v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)
live	vi.生存.居住.生活，过活.在生活中得到享受.;vt.经历.度过.;adj.活着的.生动的，有精神的.精力充沛的.现场直播的.;adv.在（表演）现场，实况地.;
beget	vt.(书面语) 招致,产生,引起
inclusion	n.包含.内含物.;
interesting	adj.令人感兴趣的，有趣的.引起兴趣的.有趣的.令人关注的.;
terribly	adv.很.非常.极.非常糟糕地.;
limited	adj.有限的.（君主权力）受宪法限制的.〈美〉乘客名额有限制的.（智力，能力等）有限的.;n.高级快车.直达的火车或汽车.;
extremely	adv.极端地.非常，很.去.绝.;
task	n.工作，任务.作业.苦差事.;vt.交给某人（任务）.使过于劳累.;
perform	vt.& vi.执行.履行.表演.扮演.;vt.工作.做.进行.完成.;vi.运行，表现.（驯兽）玩把戏.;
give	vt.& vi.给予.赠送.作出.;vt.供给.产生.举办.（为购买某物或做某事而）支付.;vi.（物体）塌下.让步.;n.伸展性，弹性.;
pull	vt.& vi.拉.扯.拉过来.划（船）.;vt.赢得.吸引异性.取消.（耍手腕）得逞.;n.拖.爬.影响力.;
modify	vi.被修饰.修改.;vt.改变.减轻，减缓.[语]修饰，（用变音符号）改变.;
retrieve	vt.取回.恢复.[计]检索.重新得到.;vi.找回猎物.;n.恢复，挽回.取回.[计]检索.;
store	n.商店.贮存物.仓库.大量.;v.贮存.（在计算机里）存储.;
ability	n.能力，资格.能耐，才能.;
paradigm	n.范例，样式，模范.词形变化表.;
fundamental	adj.基础的，基本的，根本的，重要的，原始的，主要的，十分重大的.[物]基频的，基谐波的.[乐]基音的.;n.原理，原则，基本，根本，基础.[乐]基音.[物]基频，基谐波.;
chapter	n.(书籍)章
xii	num.罗马数字 12.;
check	n.阻止,制止,控制,阻止物,支票,检讫的记号,饭馆的帐单vt.检查,制止,核对,寄存,托运vi.证明无误,核对无误,逐项相符,[象棋]将军
watch	vt.注视，注意.看守，监视.守候（机会等）.密切注意.;n.表.值夜，值班.看守，监视.值班人员.;vi.观看.注视.守候.看守.;
twitter	vi.（人因兴奋）嘁嘁喳喳地讲.（鸟）叽叽喳喳地叫.格格地笑.（激动得）抖颤.;vt.（鸟等）吱吱叫.唧唧喳喳地讲述.颤动.抖动.;n.（鸟）叽叽喳喳的叫声.格格的笑声.一个网站名称.;vt.& vi.在Twitter网站上写信息.;
follow	vt.& vi.跟随，接着.;vt.继承.（按时间、顺序等）接着.从事.采用.;vi.理解.发生兴趣.由此产生.跟着人（或物）去（或来）.;n.追随，跟随.[台球]推球，跟球打法（使竿击的球在击中目的球后继续滚动的打法）.;
website	WWW(环球网)的站点
news	n.新闻.消息.（可当作新闻内容的）人.物.;
conference	n.会议.讨论.（正式）讨论会.[工会、工党用语]（每年的）大会.;vi.举行或参加（系列）会议.;
courses	n.课程，路线.前进( course的名词复数 ).进程.课程.方针.;
send	vt.送.使作出（某种反应）.派遣.使进入（某状态）.;vt.& vi.用无线电波发送，发出信息.;vi.派遣，发出，派人.;adj.[仅用作定语]用于发送的.;
technical	adj.技术（性）的，工艺的，学术（上）的，专门（技术）的，艺术的.[法]根据法律的，法律上的.[商]人造的，用工业方法制造的，由市场内部因素（如投机等）引起的.〈美俚〉外表的，表面上的，浅薄的.;
comment	n.评论.注释.意见.说明.;vt.& vi.评论，谈论.;vt.表达意见.解释，注释.;vi.作注释.作注解.作解释.作评语.;
additional	adj.额外的，附加的.另外的，追加的.补充.外加.;
any	adj.任何的.一点，一些.普通的.任何，随便哪一个.;pron.任何.无论哪个.若干.;adv.稍微，少许.什么，一些，一点.;
list	n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上
page	n.页,记录,事件,专栏vt.标明...的页数,翻...的书页vi.翻书页
xi	n.希腊字母的第14个字母.;
fax	n.vt.传真 /n.传真/调制解调器
local	adj.地方的.当地的，本地的.局部的.褊狭的.;n.慢车.本地居民（律师、教士、医生）.住处附近的当地酒店.本地新闻.;
international	adj.国际的.两国（或以上）国家的.超越国界的.国际关系的.;n.国际组织.国际体育比赛.外国居留者.国际股票.;
canada	n.加拿大.;
concerning	 prep.关于
comments	n.批评，意见，评论.评论( comment的名词复数 ).注释.谈话.说明.;
visit	n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈
please	int.请.;vt.& vi.使高兴.使满意.讨人喜欢.讨好.;
ens	n.有，实体.;
doz	dioctyl azelate [化]壬二酸二辛酯
bartlett	n.西洋梨的一种.;
jones	n.<美><俚>瘾，毒瘾，固着型依恋.;
hill	n.小山,丘陵,斜坡,山岗
rider	n.骑手，骑马的人，善于骑马的人，骑师.（精密天平上的）游（动砝）码.附文，附加条附加条款款.扶手.;
manning	n.（工厂等的）人员配备，（列车、轮船或飞机等的）全体乘务员（或工作人员）.;
apres	prep.在...以后
ft	abbr.foot[feet] 英尺.金融时报(Financial Times).飞行试验(Flight Test).;
adobe	n.风干土坯.风干砖坯.（制风干砖用的）灰质粘土.泥砖砌成的房屋.;adj.用土坯建造的.;
ibm	abbr.individual-based modeling 个体化模组.;
morgan	n.摩根马(美国佛蒙特州轻型马,与美国快马相似)
john	n.抽水马桶.厕所.;
cisco	n.[动物]加拿大白鲑(一种青鱼) Cisco系统公司是企业网络产品的全球领先供应商
focal	adj.焦点的，有焦点的.集中在点上的.病灶的，病灶性的.;
sam	 [军] Surface to Air Missile,地对空导弹 萨姆防空导弹
press	vt.压，按.逼迫.紧抱.;vi.压.逼迫.重压.;n.强迫征兵.新闻报道，出版物.压榨.印刷机（厂）.;
microsoft	n.美国微软公司.;
hall	n.过道，走廊.大厅，前厅.娱乐中心，会所.;
prentice	n.学徒，徒弟.;adj.徒弟的，无经验的.;vt.使做学徒.;
pub	n.酒馆，酒店.客栈.;
fully	adv.充分地.完全地.足足.彻底地.;
manuscript	n.手稿.原稿.底稿.手写本.;adj.手写的，手抄的.;
publication	n.出版物,出版,发行,公布,发表
thousands	n.数千.一千( thousand的名词复数 ).数千.许许多多.千位数.;
access	n.入口，出口.接近，进入.增长.爆发.;vt.接近，进入.使用，接近，获取.;
scriber	n.划线器，描绘标记的用具.;
sub	n.潜水艇.代用品，代替者，替补队员.地铁.审校员.;vi.做替身，做替补队员.做替身，审校（文稿）.;
individual	adj.个人的.独特的.个别的.;n.个人.个体.;
agency	n.代理处,行销处,代理,中介
government	n.政府.政体.治理的形式.管辖，治理.;
organization	n.组织.机构.团体.;adj.有组织的.;
gram	n.绿豆.鹰嘴豆.绿豆种子.克.;
pro	adv.正面地  (英国)档案局 PRO(Public Record Office)
pricy	adj.价格高的，昂贵的.;
mix	vt.& vi.混合.（使）结交.相容.平安相处.;n.混录.食物混合配料.乐曲组合.;vt.调配，配制.;vi.混合录音，混录，混音.;
range	n.山脉,行列,范围,射程vt.排列,归类于,使并列,放牧vi.平行,延伸,漫游
training	n.训练.培养.（枪炮，摄影机等的）瞄准.整枝法.;v.训练，培养( train的现在分词).教育.瞄准.整枝.;
solving	v.解决( solve的现在分词 ).解答.解释.揭示.;
resource	n.[pl.] 资源,财力,办法,智谋
primary	adj.首要的，主要的.最早的，原始的.[地质学]原生的.基本的.;n.第一位.最好者.要素.候选人提拔会.;
creative	adj.创造性的，有创造力的.有创意的，创新的，创造的.;n.（非正式）创意人士.;
leading	adj.重要的，主要的.前列的.首位的.;n.行距.铅框.;v.领导（lead的ing形式）.;
form	n.形状，形式.外形.方式.表格.;vt.形成.构成.组织.塑造.;vi.形成，产生.排队，整队.;
video	n.电视,录象,视频
both	adj.两者,双方的 pron.双方,两者
expert	n.专家，能手.权威.行家，高手.熟练者.;adj.专家的.（技术）熟练的.老手.需要专门知识（或技术）的.;vt.以专家身份研究（或检查），像专家那样研究（或检查）.由专家审读（书籍等）.;vi.做专家工作，担任专家，成为高手（或能手）.;
deliver	vt.递送,陈述,释放,发表(一篇演说等),交付,引渡,瞄准,给予(打击)
digital	adj.数字的.数据的.手指的.指状的.;n.手指.（钢琴等的）琴键.数字.;
demand	vt.要求，请求.需要.[法]召唤.询问，盘问.;n.需求.需要.要求，请求.销路.;vi.需要.请求.查问.;
safari	n.游猎，陆路旅行（尤指在东非或中非）.类似游猎的假日旅行.旅行队.;
free	adj.自由的.免费的.免税的.空闲的.;adv.免费地.自由地，无拘束地.一帆风顺地.;vt.免除.释放.使自由.解救.;
above	adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出
given	adj.赠予的,沉溺的,特定的,假设的 vbl.give的过去分词
fair	adj.公平的.合理的.晴朗的.美丽的.;adv.公平地.直接地.清楚地.正大光明地.;n.集市，庙会.商品交易会，展览会.美人，美丽的事物.;vt.（卡通制作）顺利接合.（动作）衔接协调.（飞机）装配平整.使（飞机接合部）平滑.;vi.转晴.;
outside	n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外
fall	n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的
feel	vt.感觉.认为.触摸.试探.;vt.& vi.感觉，觉得.认为，以为.触摸.;n.感觉.触摸.感受.触觉.;vi.觉得.摸索.;
son	n.儿子,女婿,(长者对年轻男子的称呼)孩子,<基督教>圣子,耶稣基督
simp	n.笨人.;
include	vt.包括.包含.计入.包住.;
attribution	n.归属.归因.属性.归属物.;
appreciate	vt.感激.欣赏.领会.鉴别.;vi.（使）增值，涨价.;
product	n.产品.结果.乘积.作品.;
amount	n.量，数量.总额.本利之和.全部效果，全部含义.;vi.（在意义、价值、效果、程度等方面）等于.等同，接近.合计，总共.发展成为.;
incorporate	adj.合并的,结社的,一体化的vt.合并,使组成公司,具体表现vi.合并,混合,组成公司vt.[律]结社,使成为法人组织
quire	n.一刀（纸数量），（装订时的）一折.;
quote	vt.& vi.引述，引用.;vt.报价.引述.;vi.引用.;n.引用.报价.引号.;
cd	Compact Disc,光盘;Cd,元素镉(cadmium);Collision Detect,碰撞侦测;Carrier Detect,载波检测
distributing	vbl.分配,分发,分布
selling	n.贩卖，出售.;v.卖，售，销( sell的现在分词 ).经销.推销.出卖.;
require	vt.要求.需要.想要.命令.;vi.要求，规定.;
chunk	n.厚厚的一块.（某物）相当大的数量或部分.强壮、结实的马.;
writing	n.文字.写作.文章.笔迹.;v.写（ write的现在分词）.写信.;
portion	n.一部分,一分
significant	adj.重要的.有意义的.有重大意义的.值得注意的.;n.有意义的事物.象征，标志.;
reproducing	v.复制( reproduce的现在分词 ).重现.再版.生殖.;
permission	n.允许.批准，正式认可，认可.;
documentation	n.证明某事属实的证据.记录.参考资料.文献的编集，文件分类.;
download	v.将（程序，资料等）从大计算机系统输入小计算机系统，下载.;
etc	adv.等等及其他.诸如此类.;abbr.[拉丁语]et cetera（常读作 and so forth）.;
material	n.材料，原料.素材.布，织物.适当人选.;adj.物质的.肉体的.重要的，决定性的.辩证的，推论的.;
supplemental	adj.补足的，追加的.;
caution	n.小心.警告.〈英〉担保.〈口〉须警惕的事或人.;vt.警告.提醒.;
warning	n.警告.征候，预兆.前车之鉴.;adj.警告的.告诫的.引以为戒的.;v.警告( warn的现在分词).提醒.告诫.预先通知.;
suggestion	n.建议，意见，暗示.联想，启发.微量.;
tip	n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧
signify	vt.表示,意味vi.要紧,有重要性v.颇为重要,表示
element	n.[化]元素.要素.原理.[电]电阻丝.;
context	n.上下文.背景.环境.语境.;
determined	adj.坚定的.毅然的.确定的.;v.（使）下决心，（使）做出决定( determine的过去式和过去分词).决定.确定.使决定.;
literally	adv.逐字地.照字面地.确实地，真正地.[口语]差不多，简直（用于加强语意）.;
typed	v.打字 vbl.打字
text	n.文本，原文.课文，教科书.主题.版本.;v.发短信.;
command	n.命令，指挥.司令部，指挥部.[计算机]指令.控制力.;vt.指挥，控制，命令.命令.应得，值得.;vi.给出命令.命令，指令.;adj.指挥的，根据命令（或要求）而作的.;
bold	adj.明显的，醒目的.勇敢的，无畏的.莽撞的.陡峭的.;n.粗体字.黑体字.;
statement	n.声明.（思想、观点、文章主题等的）表现.（文字）陈述.结算单.;vi.（英国）对儿童进行特殊教育评估认定.;vt.申请（小孩）有特殊教育需要.;
types	n.类型v.打字
data	n.资料，材料.datum的复数.[计算机]数据，资料.从科学实验中提取的价值.;
database	n.数据库.资料库.信息库.;
variable	adj.变化的，可变的.[数]变量的.[生]变异的.;n.可变因素，变量.易变的东西.;
elements	n.原理，基础.要素（旧时认为土、空气、火和水是构成一切物质的四大要素）( element的名词复数 ).（化学）元素.基础.成分.;
refer	vt.提交,谈及,归诸于,指点把...提交,使求助于vi.提到,涉及,查阅,咨询
paragraph	n.(文章)段,节,段落
within	n.内部,里头adv.在内部,在内心里 prep.在...之内,不越出adj.里面的,内部的
listing	n.列表.名单.（刊印在报纸上的如电影、戏剧等.（名单中的）一个位置.;v.列表(list的现在分词）.;
width	n.宽度,宽广,广博,有一定宽度的东西(如一快布料等) /n.宽/高比
constant	adj.不断的，持续的.永恒的，始终如一的.坚定.忠实的.;n.[数]常数，常量.不变的事物.永恒值.;
extension	n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的
file	n.文件,档案,文件夹,卷宗,锉刀vt.把...归档,提出(申请等),锉,琢磨vi.列队行进,用锉刀锉
filename	n.文件名.;
url	abbr.ultraviolet light 紫外线.user requirements language 用户需求语言.;
term	n.学期,期限,期间,条款,条件,术语
indicate	vt.指出,显示,象征,预示,需要,简要地说明
italic	adj.（印刷字体）斜体的.（书写）整齐尖细的.(I-)古意大利的.;n.斜体字.;
typographical	adj.印刷上的，排字上的.;
following	n.下列各项,部下,党羽adj.下列的,其次的 prep.在...之后
convention	n.会议.全体与会者.国际公约.惯例，习俗，规矩.;
pre	Petroleum Refining Engineer炼油工程师
run	n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的 vbl.run的过去式和过去分词
version	n.版本.译文，译本.说法.倒转术.;
environment	n.环境，外界.周围，围绕.工作平台.（运行）环境.;
engine	n.发动机,机车,火车头
modern	adj.现代的.近代的.新式的.当代风格的.;n.现代人，现代主义者.时髦人士.[印]现代字体，指印刷中所用的一种字体.;
examples	n.例子.榜样( example的名词复数 ).例子.样本.样板.;
inspiring	adj.鼓舞人心的.激励的.启发灵感的.;vt.鼓舞(inspire的现在分词).激励.启迪.;
aim	n.目标,目的,瞄准v.对...瞄准,打算
lack	vt.缺乏，缺少.需要的东西.;n.缺乏，不足，没有.缺少的东西.;
confusion	n.混乱.混淆.困惑.;
sufficiently	adv.足够地，充分地.十分，相当.;
completely	adv.完全地.完整地.完全，彻底，全部，一干二净.很，非常，充分，十分，万分.;
partially	adv.部分地.<古>偏袒地，偏爱地.一部分.;
awesome	adj.令人敬畏的.使人畏惧的.可怕的.极好的.;
await	vt.等候.等待.期待.;
shadow	n.阴影.影子.鬼，幽灵.隐蔽处.;vt.投阴影于.使朦胧.跟踪，尾随.预示.;vi.渐变.阴沉.;adj.影子内阁的.阴影的.非正式的.;
burn	vt.& vi.& link-v.（使）燃烧.;vt.& vi.使用某物为燃料.烧毁.烧坏.烧伤.;n.烧伤，烧痕.;
handed	adj.有手的.;
need	vt.需要.必须.;aux.必须.不得不.;n.需要.需要的东西.责任.贫穷.;vi.（表示应该或不得不做）有必要.;
practical	adj.实践的，实际的.可实现的，实用的.注重实际的.可用的.;
confidence	n.信心.信任.秘密.;adj.骗得信任的.欺诈的.;
firm	adj.坚固的，坚牢的.坚定的，坚决的.严格的.确定的.;vt.& vi.使坚固.使坚实.;n.商号，商行.公司.企业.工作集体.;adv.坚定地，稳固地.;vt.使坚定，使牢固.;vi.变坚实，变稳固.;
reading	n.阅读.宣读.读物.读数.;v.读( read的现在分词).看懂.理解.显示，标明.;
exhaustively	adv.用尽一切地.;
dive	vi.潜水.跳水.急剧下降.（头朝下）跳入水中.;n.潜水.跳水.俯冲，（潜艇）下潜.（气温，股价等的）暴跌，跳水.;vt.& vi.突然下降，暴跌.;
understood	v.懂，理解( understand的过去式和过去分词 ).了解.默认.听说.;
core	n.果核,中心,核心
specific	adj.明确的.特种的.具体的.[免疫学]特效的.;n.特效药.特性.细节.显著的性质，特性.;
standing	n.起立，站立.身份，地位.持续时间.;adj.长期有效的.直立的.固定的.;v.站立.坚持不变.;
beyond	 prep.在(到)...较远的一边,超过,那一边adv.在远处n.远处
acronym	n.只取首字母的缩写词
popular	adj.流行的，大众化的.民众的，大众的，公众的.通俗的，普通的，平易的.〈美俚〉自以为了不得的，骄傲的.;
viii	num.罗马数字 8.;
framework	n.构架.框架.（体系的）结构.机构，组织.;
technique	n.技术,技巧,方法,表演法,手法
embrace	vt.& vi.拥抱.;vt.包括.包含.接受.信奉.;n.拥抱，怀抱.;
traveled	adj.富有旅行经验的.旅客多的.旅客使用的.旅客常到的.;
bumpy	adj.崎岖的.颠簸的.气流不稳的.;
journey	n.旅行,旅程v.旅行
gently	adv.温柔地.轻轻地.有礼貌地.文雅地.;
stopping	v.停止( stop的现在分词 ).中断.逗留.（使）停止工作.;
nor	conj.也不.也不是.和 neither 或 not 连用.去甲.;
rough	adj.粗糙的，崎岖不平的.粗鲁的.狂暴的，汹涌的.未经加工的.;vt.粗暴地对待.使粗糙.草拟.;n.粗糙的部分.艰难，苦难.（高尔夫球场的）深草区.;adv.粗暴地.;vi.举止粗野.;
road	n.路,道路,公路,大道
retreat	vi.撤退，后退.撤销，作罢.（眼睛等）凹进.[航]向后倾斜.;n.撤回.静居处.引退期间.静思，静修.;
advice	n.劝告，忠告.（商业）通知.建议.（政治，外交上的）报导，报告.;
eschew	vt.避开，回避.;
furthermore	adv.此外.而且.与此同时.再者.;
behave	vi.表现.举止端正.自然反应.;vt.使守规矩.;
force	n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力
tendency	n.倾向，趋势.（话或作品等的）旨趣，意向.性情.癖好.;
head	n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的
tough	adj.坚强的，坚韧的，不屈不挠的.艰苦的，困难的，难办的.牢固的，强壮的.粗暴的.;n.粗暴的人.暴徒，恶棍.;vt.<口>忍耐，忍受（常与out连用）.;adv.强硬地，顽强地.以强硬的态度.;
contrary	adj.相反的.违反的，反对的.对立的.顽固的，任性的.;n.对立或相反的事物.对立方.[逻]反对命题.;adv.相反地，矛盾地.;
offer	vt.提供，给予.提出，提议.出价，开价.表示愿意.;vi.提议.企图，想要.供奉.;n.提议.出价，开价.试图.求婚.;
incomplete	adj.不完全的.未完成的.不完备的.片.;
safe	adj.安全的.保险的，肯定的.无损的.提供保护的.;n.保险箱，保险柜.冷藏箱.〈俚〉避孕套.;
consider	vt.考虑,照顾,认为
reader	n.读者，朗读者.读本.讲读者，讲师.审稿人.;
dear	adj.亲爱的.敬爱的.昂贵的.严厉的.;n.亲爱的人.宠物.;int.哎.;adv.高价地.疼爱地.贵.;
implore	vt.恳求或乞求（某人）.;vi.恳求，乞求.;
good	adj.好的.优秀的.有益的.漂亮的，健全的.;n.好处，利益.善良.善行.好人.;adv.同well.;
dub	vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋
subset	n.[数]子集
richness	n.丰富,浓烈,富裕,富饶,华美
shell	n.（贝、卵、坚果等的）壳.外壳.炮弹.（人的）表面性格.;vt.去壳，脱落.炮击.;vi.剥皮.炮轰.;
hollow	adj.空的.空洞的.虚伪的.空腹的.;n.洞，坑.山谷.;vt.& vi.挖空（某物），变空.挖出（孔、洞）.;adv.完全，彻底.;
relegate	v.转移,归入,提交
tome	n.册.卷.大而重的书.一本巨著.;
some	adj.一些.某个.大约.相当多的.;pron.一些.若干.其中的一部分.（数量不确切时用）有些人.;adv.非常.相当.<美>稍微.;
add	vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法
response	n.反应.回答，答复.[宗]回应经文，应唱圣歌.;
frustration	n.挫折.失败.挫败.失意.;
surprise	n.惊奇,诧异,惊人之事,奇袭vt.使惊奇,奇袭adj.令人惊讶的
encounter	vt.不期而遇.遭遇.对抗.;n.相遇，碰见.遭遇战.对决，冲突.;vi.碰见，尤指不期而遇.;
point	n.点.要点.得分.标点.;vt.（意思上）指向.削尖.加标点于.指路.;vi.表明.指向.;
mission	n.使命,任务,使团,代表团
attain	vt.& vi.达到，获得.遂愿.经过努力到达某事物.;vt.达到，实现.获得.到达.;vi.达到.获得.到达.;
presently	adv.目前.不久.马上.;
challenge	n.挑战vt.向...挑战
heel	n.脚后跟，踵.（鞋、袜等的后跟）.（四足动物的）后脚.踵状物.;vt.& vi.（使）倾斜.;vt.给（鞋等）修理后跟.;
achilles	n.<希神>阿喀琉斯（希腊勇士，出生后其母握其脚踵倒提着在冥河水中浸过，因此除未浸过的脚踵之外，浑身刀枪不入）； 阿基里斯（小行星558号）.;
paradox	n.反论，悖论.似非而是的论点.自相矛盾的人或事.[物]佯谬.;
lies	n.谎言.谎言( lie的名词复数 ).位置.假象.;v.躺卧，说谎.位于( lie的第三人称单数 ).说谎.展现.说谎.;
therein	adv.其中，在那里.在那点上，在那方面.;
seasoned	adj.经验丰富的,老练的
true	adj.真正的.真实的.忠实的.正确的.;adv.真正地.确实地.正确地.正当地.;n.真理，真实.正，准，精确.;vt.摆正.决定（某物）的位置以使其平衡、平稳或水平.;
elude	v.躲避
mechanics	n.(用作单数)机械学、力学,(用作复数)技巧,结构
collection	n.收集，采集.征收.收藏品.募捐.;
nuance	n.细微差别.细微的表情.;
complex	adj.复杂的.难懂的.复合的.;n.建筑群.相关联的一组事物.情结.不正常的忧虑.;
peal	n.（声音大而持续或重复的）洪亮的响声.隆隆声.洪亮的钟声.钟乐.;vt.& vi.（使）（钟等）鸣响，（雷等）发出隆隆声.;
simultaneously	adv.同时地.一壁.齐.一齐.;
hood	n.头巾,兜帽,车蓬,引擎罩v.用头巾包裹,给...加罩,覆盖
script	n.脚本，手迹.书写体铅字.剧本、广播稿或者电影剧本.;vt.为电影（或戏剧等）写剧本.编造.;
encourage	vt.鼓励，鼓舞.支持.促进.鼓动.;
callback	n.回收，回叫信号，复查.;
passing	adj.经过的，路过的.短暂的.及格的.正在发生的.;adv.非常地.无以伦比地.;n.经过，通过.经过之处，通过的手段.死亡.;v.走过( pass的现在分词).;
simplistic	adj.过分单纯化的.过分简单化的.把复杂问题搞得过于简单的.;
seemingly	adv.看来似乎.表面上看来.貌似.;
tend	vt.照料，照顾.护理.照管，管理.;vi.倾向（于），趋向（于）.伺侯，招待.关心.注意.;
rooted	adj.生根的，有根的.固定的，根深蒂固的.;v.生根.使（某事物）深深扎根.;
sophisticated	adj.复杂的.精致的.富有经验的.深奥微妙的.;v.使变得世故.使迷惑.篡改(sophisticate的过去分词形式).;
surface	n.表面.外观，外表.地面。水面.;vi.浮出水面.在表面工作.显露.;vt.使浮出水面.使成平面.;adj.表面的，外观的.外表上的，平地上的.肤浅的.;
scratch	n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的
barely	adv.仅仅，勉强，好容易才.几乎不，几乎没有.赤裸裸地，无遮蔽地.公然地，露骨地，公开地.;
program	n.节目,程序,纲要,计划vt.规划,拟...计划,安排...入节目vi.安排节目,编程序 (电脑)程序,(电视)节目
scale	n.刻度,衡量,比例,数值范围,比例尺,天平,等级vt.依比例决定,攀登,测量vi.剥落,生水垢,重,攀登,衡量
write	vt.书写,著述,写,写满,写信给vi.写,写字,写信,写作,作曲
depth	n.深度.深处，深海.深奥，奥妙.进深.;
pretty	adj.漂亮的.机灵的，聪明的.;adv.相当，颇.;n.漂亮的人（或东西）.;
than	 conj.比 prep.与...相比较
occurrence	n.发生,出现,事件,发生的事情
mastery	n.精通，熟练.统治，控制.优势.;
solid	n.固体,立体adj.固体的,实心的,坚固的,结实的,立体的,可靠的,一致的,纯粹的
eccentricity	n.古怪.反常，怪癖.[物]偏心距.[数]离心率.;
running	n.跑步.运转.流出.;adj.跑着的.流动的.连续的.操作中的，运转着的.;v.跑.运转(run的ing形式).;
perhaps	adv.或许.（表示不确定）也许.（用于粗略的估计）或许.（表示勉强同意或其实不赞成）也许.;n.假定.猜想.未定之事.;
exposure	n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列
comfortable	adj.舒适的.安逸的，处于轻松的.充裕的.;
inviting	adj.吸引人的，诱人的.引人注目的.;v.邀请(invite的现在分词).;
programming	n.规划，设计.编程.;v.训练( programme的现在分词 ).培养.预调.;
developer	n.开发者.<摄>显影剂，显像剂.;
audience	n.观众，听众，读者.读者.接见.拥护者，爱好者.;
broad	adj.宽的,阔的,广泛的,明朗的,露骨的,显著的,主要的adv.宽阔地n.宽阔部分
exceedingly	adv.非常，极其，特别，十分.极大地.过分地.极度地，极端.;
functional	adj.功能的.[数]函数的.有多种用途的.机能性.;
lisp	n.咬舌，口齿不清（把s音发成th音）.;vt.& vi.（说话）咬舌（把s音发成th音）.;
scheme	vt.& vi.策划，图谋.;n.计划.体系.阴谋.;vt.设计，计划.谋划，图谋.;vi.密谋，制定计划.;
obvious	adj.明显的.显著的.平淡无奇的.自明.;
less	adj.较少的（little的比较级）.较小的.较次的，较劣的.较不重要的.;adv.较少地，较小地.;prep.减去.少掉.不足.;n.较少，较小.;
subtle	adj.狡猾的,敏感的,微妙的,精细的,稀薄的
procedural	adj.程序的.有关程序的.;
proud	adj.自豪的，得意的.光荣的，高尚的.傲慢的.有自尊心的.;
including	prep.包括.包含.;v.包括( include的现在分词).包含.列入.包住.;
several	adj.几个的.专有的.各自的.分别的.;pron.几个，数个.一些.;
idiom	n.习语，成语.方言，土语.（语言）风格.惯用语法.;
